Municipal_Status,town_code,town_hebrew,town_english,town_eshkol_19,town_eshkol17,STAT19,Pop2019,SocioIndex19,SocioRank19,Eshkol19,Eshkol17,Eshkol08,population,index_value,rank,District,SocioRank17,Difference1917
99,7800,פרדס חנה-כרכור,PARDES HANNA-KARKUR,7,7,3,5523.10867416951,1.19163466826237,1315,8,8,8,4826.7091002005418,1.1575670820145767,1291,NA,NA,NA
99,7800,פרדס חנה-כרכור,PARDES HANNA-KARKUR,7,7,2,4141.88573008152,1.2064631712873,1318,8,8,8,4019.7286405715322,1.0898729877983315,1260,NA,NA,NA
99,7800,פרדס חנה-כרכור,PARDES HANNA-KARKUR,7,7,1,4875.08991530866,1.42245931553712,1428,9,9,8,3807.1215645354887,1.4316964949422335,1411,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,513,3499.00867773098,-0.640522552226908,350,4,4,3,3495.9957736016645,-0.4681444886877958,384,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,524,5107.27350205636,-0.583082289148901,363,4,4,4,4890.5437692463156,-0.35334027322225786,433,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,523,9003.47383052276,-0.448121617733479,413,4,4,3,6581.0704510441519,-0.7189093026872485,286,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,515,1752.6363580682,-0.384869383083576,436,5,4,4,1761.9881798583287,-0.2626198787845665,478,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,311,4800.02373326156,-0.316769371899428,478,5,4,5,4976.8853958611653,-0.15657330194047217,527,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,512,3407.36869446317,-0.287180122791854,497,5,4,5,3165.5471081555324,-0.14487941655716888,535,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,412,2505.01792436859,-0.215370762836555,544,5,5,5,2555.5062641271338,0.048751646813006595,649,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,146,1380.99933428866,-0.166651281247229,566,5,4,5,1412.109848478681,0.001419135473507054,622,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,313,3603.58638628573,-0.162904610363328,571,5,5,5,3756.4882556618254,-0.003022017036456013,617,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,236,3775.22784973388,-0.117385376266343,594,5,5,4,3929.7890600485525,-0.2242762286975546,496,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,312,4805.1469035359,-0.0997931721359994,607,5,5,5,4639.1847735159054,-0.007404026311326963,613,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,134,1607.0496799924,-0.0526921700725157,638,5,5,5,1727.8251300728602,0.0034697468750910045,625,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,415,2510.39286971522,-0.0306793161335824,650,5,5,5,2436.0096980858339,-0.03931595291872787,586,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,421,3174.22378477767,-0.0123097493142338,664,5,5,5,3146.6799709984789,0.12866473305493992,710,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,145,3253.89192490736,0.0265056754259608,690,5,5,5,3383.2047683574133,0.14761940970794035,725,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,234,3264.180991576,0.0338999091942675,694,5,5,5,3198.3696693069196,0.12205302577781971,702,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,132,551.034200035492,0.0426139059678588,701,5,6,6,542.35477316138599,0.29115635721756367,813,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,142,1443.59384391964,0.0527516466843252,710,5,5,6,1333.7086962044571,0.19369825919639785,753,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,414,3663.42994427037,0.0889648603964417,733,5,5,5,3801.9506502613422,0.14980954259681212,726,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,114,3587.26934328362,0.0935679242202177,737,5,5,5,3539.0016194889454,0.06723823659972131,663,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,432,2711.97999288511,0.0966415900322404,740,5,5,5,2844.1721567135801,0.11746164357269588,698,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,144,2138.25651451859,0.112852593457407,752,6,5,6,2232.1728326143671,0.16977566537460786,739,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,141,1624.03675219495,0.121990069601118,761,6,6,6,1526.5492673780441,0.2491516245910169,789,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,322,2441.11176471812,0.128805356741002,769,6,6,6,2505.9269685879126,0.21799110265422034,767,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,235,2674.66130395743,0.157892188838338,785,6,6,6,2595.4251937003987,0.30650746439134297,826,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,431,2538.15003852514,0.159504875087928,787,6,6,6,2462.3738900480048,0.31804716731320265,831,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,434,1460.13647164018,0.254634504846109,838,6,5,5,1606.9406537021007,0.043410111529325765,645,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,112,4507.92352869115,0.256225438828424,841,6,6,6,4301.368734716405,0.34573299926057377,852,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,522,6759.16219357069,0.286339164698338,855,6,6,6,5618.6227923710267,0.2417909359656146,782,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,423,5583.94277293161,0.318160792745246,883,6,6,6,5265.4071231360049,0.4983809955776287,950,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,413,1983.6485093391,0.362220145239137,911,6,6,6,2082.0539565397121,0.40747592124913046,895,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,323,2893.71617308434,0.366076415864219,913,6,7,6,2997.5854262927528,0.43779218821218135,911,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,511,1966.84347416152,0.368232391697516,915,6,6,6,1706.914197517887,0.18140086570846886,748,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,321,4491.3730175255,0.369799973378244,916,6,6,7,4458.8994769409337,0.519963297480323,962,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,232,3268.48364479177,0.374328157678856,920,6,6,6,3051.9228361240525,0.44394932695550005,920,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,231,6361.04278276383,0.457294457070648,963,7,7,7,6233.258049745873,0.5967060270193417,1008,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,433,4082.12043645058,0.463102087361912,965,7,7,7,3970.8206461454311,0.6092394881691245,1015,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,521,5473.99263658225,0.49674963825503,983,7,7,7,4846.5050546936282,0.5162106083874983,960,NA,NA,NA
